id,value,name,loc_type,parent,latitude,longitude
23756,20302923574,MAJLISHPUR,5,20302923,,
23757,20309447684,MAJLISHPUR,5,20309447,,
23758,20516557529,MAJUPUR,5,20516557,,
23759,20309476694,MAJUPUR,5,20309476,,
23760,20198191539,MAJUR,5,20198191,,
23761,20514380605,MAKARADHWAJ,5,20514380,,
23762,20467047814,MAKHUMTAICHA,5,20467047,,
23763,20758317609,MAKILLA,5,20758317,,
23764,20191556517,MAKIMPUR,5,20191556,,
23765,20132222672,MAKIMPUR,5,20132222,,
23766,20198743643,MAKIMPUR,5,20198743,,
23767,20758723562,MAKIMPUR,5,20758723,,
23768,20198113546,MAKLISHPUR,5,20198113,,
23769,20191562560,MALA PARA,5,20191562,,
23770,20134970556,MALA PARA,5,20134970,,
23771,20128536657,MALAI,5,20128536,,
23772,20129490654,MALAIS,5,20129490,,
23773,20193673626,MALAKHOLA,5,20193673,,
23774,20751038488,MALAN CHAR,5,20751038,,
23775,20751038497,MALANGMURI,5,20751038,,
23776,20139565570,MALARA,5,20139565,,
23777,20150476605,MALGHAR,5,20150476,,
23778,20198786647,MALI PARA,5,20198786,,
23779,20754795565,MALI PARA,5,20754795,,
23780,20305123513,MALI PATAR,5,20305123,,
23781,20156194673,MALIARA,5,20156194,,
23782,20193684630,MALIGAON,5,20193684,,
23783,20135879604,MALIGAON,5,20135879,,
23784,20121394640,MALIHATA,5,20121394,,
23785,20193634634,MALIKHIL,5,20193634,,
23786,20198181552,MALIPARA,5,20198181,,
23787,20302947578,MALIPUR,5,20302947,,
23788,20758723569,MALIYAR TEK,5,20758723,,
23789,20154710642,MALLIK CHAR,5,20154710,,
23790,20191588537,MALLIKER DIGHI,5,20191588,,
23791,20302556603,MAMARIZPUR,5,20302556,,
23792,20197463,MAISATUA,4,201974,23.1882914928,91.0722128828
23793,20132267,MAISHADI,4,201322,23.2440574213,90.7010905574
23794,20199469,MAJIDPUR,4,201994,23.5758726507,90.7577803763
